data_reg_dt,displacement,enterprise,grade,mileage,modelname,rqno,year_oilprice
2026-06-08 12:00:27,1493,NULL,1,18.9,쎄라토 1.5 디젤 4DR,401050039,944167
2026-06-08 12:00:27,1493,NULL,2,16,쎄라토 1.5 디젤 4DR,401050042,1115297
2026-06-08 12:00:27,2867,NULL,4,8.6,박스터(컨버터블),401050045,2409401
2026-06-08 12:00:27,2656,NULL,4,9.4,그랜저 2.7DOHC,401050047,2204346
2026-06-08 12:00:05,3342,NULL,4,9,그랜저 3.3DOHC,401050048,2302317
2026-06-08 12:00:26,1493,NULL,1,18.9,아반떼XD 1.5디젤,401050050,944167
2026-06-08 12:00:06,2792,NULL,5,7.7,캐딜락 CTS (2.8L),401050052,2691019
2026-06-08 12:00:06,4701,NULL,5,6.6,짚 그랜드 체로키,401050053,3139523
2026-06-08 12:00:06,2967,NULL,2,9.1,파이브헌드레드,401050054,2277016
2026-06-08 12:00:06,4009,NULL,2,8.3,머스탱,401050055,2496488
2026-06-08 12:00:06,3824,NULL,5,7.4,911 카레라 S 카리브올레,401050058,2800115
2026-06-08 12:00:06,4009,랜드로버,5,5.9,디스커버리3,401050060,3512008
2026-06-08 12:00:06,2902,NULL,1,10.2,그랜드카니발 2.9 디젤 WGT 11P,401050062,1749485
2026-06-08 12:00:06,5654,NULL,5,6.7,짚 그랜드 체로키,401050066,3092664
2026-06-08 12:00:06,4000,NULL,5,7.3,BMW 740i,401050068,2838473
2026-06-08 12:00:06,4799,NULL,3,7.3,BMW 750Li,401050069,2838473
2026-06-08 12:00:06,1997,NULL,2,11.7,푸조 807 2.0 HDi FAP,401050070,1525192
2026-06-08 12:00:06,1596,NULL,3,12.6,SM3,401050071,1644512
2026-06-08 12:00:06,1598,지엠대우,3,12.3,라세티 1.6D AT,401050074,1684622
2026-06-08 12:00:06,1598,지엠대우,2,14.4,라세티 1.6D MT,401050075,1438948
2026-06-08 12:00:06,1998,NULL,5,8.8,SM5 LPLi,401050077,1347938
2026-06-08 12:00:06,1998,NULL,4,10.1,SM5 LPLi,401050078,1174441
2026-06-08 12:00:05,2656,NULL,3,7.2,그랜저 2.7LPI(중형),401050081,1647479
2026-06-08 12:00:05,1399,NULL,2,13.5,클릭 1.4DOHC,401050083,1534878
2026-06-08 12:00:05,1399,현대,1,15.6,클릭 1.4DOHC,401050084,1328260
2026-06-08 12:00:05,1599,현대,1,15.3,클릭 1.6DOHC,401050086,1354304
2026-06-08 12:00:06,1997,NULL,1,14.3,푸조 407 2.0 HDi,401050087,1247885
2026-06-08 12:00:25,1997,푸조,1,17.4,푸조 407 2.0 HDi,401050088,1025560
2026-06-08 12:00:26,5439,NULL,3,6.5,벤츠 CLS55AMG,401050089,3187823
2026-06-08 12:00:03,1599,NULL,2,14.9,베르나 1.6DOHC,401050096,1390661
2026-06-08 12:00:03,1493,NULL,1,20.6,베르나 1.5디젤,401050098,866250
2026-06-08 12:00:03,2359,NULL,2,11.1,쏘나타 2.4DOHC,401050099,1866743
2026-06-08 12:00:03,2997,NULL,2,8.6,Benz E280,401050100,2409401
